protocol_type,service,flag,src_bytes,dst_bytes,risk_score,ThreatCategory,Priority,class
tcp,other,REJ,0,0,82.137234,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.10569,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.997938,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.978235,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.96052,Critical,P1-Critical,anomaly
tcp,ftp,SF,326,1054,81.881341,Critical,P1-Critical,normal
tcp,telnet,SF,1009,166520,81.846243,Critical,P1-Critical,normal
tcp,other,REJ,0,0,81.74326,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.74326,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.74326,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.706769,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.705892,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.692835,Critical,P1-Critical,anomaly
tcp,private,S0,0,0,81.626728,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.498352,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.488925,Critical,P1-Critical,anomaly
tcp,private,RSTOS0,0,0,81.464179,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.434819,Critical,P1-Critical,anomaly
tcp,telnet,SF,565,111864,81.391885,Critical,P1-Critical,normal
tcp,private,REJ,0,0,81.309206,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.298401,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.231431,Critical,P1-Critical,anomaly
tcp,telnet,RSTR,676,23920,81.124377,Critical,P1-Critical,normal
tcp,other,REJ,0,0,81.063969,Critical,P1-Critical,anomaly
tcp,private,SH,0,0,80.970687,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,80.810554,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,80.684973,Critical,P1-Critical,anomaly
tcp,private,RSTOS0,0,0,80.622329,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,80.497309,Critical,P1-Critical,anomaly
tcp,private,S0,0,0,80.345543,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,80.327574,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,80.28906,Critical,P1-Critical,anomaly
tcp,telnet,S1,145,13236,80.257293,Critical,P1-Critical,normal
tcp,other,S0,0,0,80.185066,Critical,P1-Critical,anomaly
tcp,private,S0,0,0,80.004085,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,79.908725,Critical,P1-Critical,anomaly
tcp,private,S0,0,0,79.878051,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,79.800004,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,79.794496,Critical,P1-Critical,anomaly
tcp,telnet,RSTO,125,179,79.73592,Critical,P1-Critical,anomaly
tcp,smtp,RSTOS0,0,0,79.726067,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,79.719541,Critical,P1-Critical,anomaly
tcp,discard,REJ,0,0,79.625923,Critical,P1-Critical,anomaly
tcp,private,S0,0,0,79.61845,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,79.529585,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,79.529585,Critical,P1-Critical,anomaly
tcp,telnet,SF,427,47657,79.466252,Critical,P1-Critical,normal
