protocol_type,service,flag,src_bytes,dst_bytes,class,risk_score,ThreatCategory,Priority,anomaly_pred
tcp,private,S0,0,0,anomaly,13.233666,Informational,P4-Low,0
tcp,http,SF,0,354,normal,6.633448,Informational,P4-Low,0
tcp,http,SF,309,306,normal,1.387086,Informational,P4-Low,0
tcp,http,REJ,0,0,normal,70.893127,Medium,P2-High,1
tcp,http,SF,278,7227,normal,3.694656,Informational,P4-Low,0
udp,private,SF,28,0,anomaly,53.886922,Medium,P2-High,1
tcp,http,SF,313,761,normal,2.057367,Informational,P4-Low,0
tcp,http,SF,219,1212,normal,1.07076,Informational,P4-Low,0
tcp,http,SF,245,9165,normal,12.243383,Informational,P4-Low,0
tcp,http,SF,328,2243,normal,4.589174,Informational,P4-Low,0
tcp,http,REJ,0,0,normal,54.123035,Medium,P2-High,1
tcp,http,SF,251,301,normal,3.871042,Informational,P4-Low,0
tcp,smtp,SF,2089,335,normal,49.892627,Low,P3-Medium,1
tcp,http,REJ,0,0,normal,57.609521,Medium,P2-High,1
tcp,http,SF,237,511,normal,6.430598,Informational,P4-Low,0
tcp,http,SF,324,431,normal,5.464837,Informational,P4-Low,0
tcp,private,RSTR,1,0,anomaly,67.886504,Medium,P2-High,1
tcp,Z39_50,REJ,0,0,anomaly,45.42644,Low,P3-Medium,0
udp,private,SF,105,145,normal,35.433511,Low,P3-Medium,0
tcp,http,SF,218,974,normal,6.241763,Informational,P4-Low,0
tcp,http,SF,325,2649,normal,1.431865,Informational,P4-Low,0
tcp,uucp_path,REJ,0,0,anomaly,47.827866,Low,P3-Medium,0
tcp,bgp,REJ,0,0,anomaly,48.22367,Low,P3-Medium,0
tcp,csnet_ns,S0,0,0,anomaly,20.352464,Informational,P4-Low,0
tcp,http,SF,328,275,normal,12.490702,Informational,P4-Low,0
tcp,bgp,S0,0,0,anomaly,22.283705,Informational,P4-Low,0
tcp,finger,SF,9,138,normal,20.808455,Informational,P4-Low,0
udp,domain_u,SF,46,46,normal,13.416859,Informational,P4-Low,0
tcp,smtp,SF,1079,334,normal,15.943021,Informational,P4-Low,0
udp,domain_u,SF,45,139,normal,13.193573,Informational,P4-Low,0
tcp,ftp,SF,273,903,normal,36.350723,Low,P3-Medium,0
tcp,private,S0,0,0,anomaly,15.208625,Informational,P4-Low,0
tcp,ldap,REJ,0,0,anomaly,38.518579,Low,P3-Medium,0
tcp,http,SF,237,138,normal,14.903248,Informational,P4-Low,0
tcp,http,SF,225,1357,normal,4.591621,Informational,P4-Low,0
tcp,private,S0,0,0,anomaly,12.579036,Informational,P4-Low,0
tcp,supdup,S0,0,0,anomaly,15.757643,Informational,P4-Low,0
udp,other,SF,147,0,normal,48.280975,Low,P3-Medium,0
tcp,http,SF,262,1011,normal,5.60736,Informational,P4-Low,0
icmp,ecr_i,SF,1032,0,anomaly,31.7595,Low,P3-Medium,0
tcp,private,S0,0,0,anomaly,12.456015,Informational,P4-Low,0
tcp,http,SF,261,8412,normal,1.899858,Informational,P4-Low,0
tcp,bgp,REJ,0,0,anomaly,42.352497,Low,P3-Medium,0
tcp,netbios_dgm,REJ,0,0,anomaly,41.465868,Low,P3-Medium,0
tcp,http,SF,294,1719,normal,1.161437,Informational,P4-Low,0
tcp,http,SF,221,981,normal,13.59805,Informational,P4-Low,0
tcp,http,SF,284,10352,normal,6.574766,Informational,P4-Low,0
tcp,gopher,SH,0,0,anomaly,67.654792,Medium,P2-High,1
tcp,http,SF,309,16096,normal,12.103284,Informational,P4-Low,0
tcp,ftp_data,SF,334,0,anomaly,20.788494,Informational,P4-Low,0
tcp,telnet,S0,0,0,anomaly,43.628326,Low,P3-Medium,0
tcp,private,S0,0,0,anomaly,20.053811,Informational,P4-Low,0
tcp,http,SF,214,283,normal,4.463226,Informational,P4-Low,0
tcp,vmnet,S0,0,0,anomaly,20.082997,Informational,P4-Low,0
tcp,systat,S0,0,0,anomaly,21.250176,Informational,P4-Low,0
tcp,http_443,S0,0,0,anomaly,12.854843,Informational,P4-Low,0
udp,domain_u,SF,46,78,normal,23.150433,Informational,P4-Low,0
tcp,ftp_data,SF,748,0,normal,28.795373,Low,P3-Medium,0
tcp,efs,S0,0,0,anomaly,16.710532,Informational,P4-Low,0
icmp,eco_i,SF,8,0,anomaly,42.739314,Low,P3-Medium,0
tcp,whois,S0,0,0,anomaly,20.615946,Informational,P4-Low,0
tcp,http,SF,329,8437,normal,2.824215,Informational,P4-Low,0
tcp,ftp_data,SF,9,0,normal,28.198487,Low,P3-Medium,0
udp,domain_u,SF,46,128,normal,21.235659,Informational,P4-Low,0
tcp,ftp_data,SF,1766,0,normal,25.136763,Low,P3-Medium,0
tcp,remote_job,S0,0,0,anomaly,14.885541,Informational,P4-Low,0
tcp,other,RSTR,1,0,anomaly,66.723506,Medium,P2-High,1
tcp,finger,SF,8,135,normal,23.376772,Informational,P4-Low,0
tcp,http,SF,266,529,normal,7.70597,Informational,P4-Low,0
tcp,ftp_data,SF,245,0,normal,29.608706,Low,P3-Medium,0
tcp,http,SF,295,465,normal,2.644311,Informational,P4-Low,0
tcp,gopher,S0,0,0,anomaly,21.227518,Informational,P4-Low,0
tcp,http,SF,228,6834,normal,17.653525,Informational,P4-Low,0
icmp,ecr_i,SF,1032,0,anomaly,45.254614,Low,P3-Medium,0
tcp,imap4,REJ,0,0,anomaly,42.36088,Low,P3-Medium,0
tcp,private,S0,0,0,anomaly,17.108979,Informational,P4-Low,0
tcp,whois,S0,0,0,anomaly,22.221864,Informational,P4-Low,0
tcp,http,REJ,0,0,normal,60.627461,Medium,P2-High,1
tcp,other,REJ,0,0,anomaly,75.018906,Critical,P1-Critical,1
udp,other,SF,1,0,anomaly,33.764067,Low,P3-Medium,0
tcp,iso_tsap,S0,0,0,anomaly,14.252802,Informational,P4-Low,0
icmp,ecr_i,SF,30,0,normal,18.717178,Informational,P4-Low,0
tcp,smtp,SF,2078,333,normal,25.183906,Low,P3-Medium,0
tcp,ftp_data,SF,19,0,normal,11.388409,Informational,P4-Low,0
tcp,smtp,SF,661,329,normal,11.438431,Informational,P4-Low,0
udp,private,SF,28,0,anomaly,44.759259,Low,P3-Medium,0
tcp,ftp_data,S0,0,0,anomaly,29.235149,Low,P3-Medium,0
tcp,private,S0,0,0,anomaly,14.501441,Informational,P4-Low,0
tcp,private,S0,0,0,anomaly,12.811811,Informational,P4-Low,0
tcp,smtp,SF,1075,364,normal,26.21729,Low,P3-Medium,0
tcp,http,SF,223,656,normal,2.255059,Informational,P4-Low,0
tcp,ftp,SF,350,1185,anomaly,58.434061,Medium,P2-High,1
tcp,http,SF,233,2470,normal,2.421814,Informational,P4-Low,0
tcp,private,S0,0,0,anomaly,13.567805,Informational,P4-Low,0
tcp,echo,S0,0,0,anomaly,15.977762,Informational,P4-Low,0
tcp,http,SF,201,1938,normal,4.492601,Informational,P4-Low,0
tcp,http,SF,271,4781,normal,19.099088,Informational,P4-Low,0
tcp,ftp_data,SF,14416,0,normal,15.374031,Informational,P4-Low,0
tcp,http,SF,227,11564,normal,13.817314,Informational,P4-Low,0
tcp,private,REJ,0,0,anomaly,70.489789,Medium,P2-High,1
tcp,http,SF,225,2445,normal,5.426078,Informational,P4-Low,0
tcp,http,SF,176,426,normal,0.282665,Informational,P4-Low,0
tcp,klogin,S0,0,0,anomaly,11.793857,Informational,P4-Low,0
tcp,http,SF,227,762,normal,1.321588,Informational,P4-Low,0
tcp,smtp,SF,855,575,normal,11.407036,Informational,P4-Low,0
tcp,smtp,SF,944,330,normal,10.589515,Informational,P4-Low,0
tcp,smtp,SF,954,326,normal,37.594088,Low,P3-Medium,0
tcp,uucp_path,S0,0,0,anomaly,15.585108,Informational,P4-Low,0
tcp,http,SF,166,34660,normal,16.499752,Informational,P4-Low,0
tcp,http,SF,306,2698,normal,20.854829,Informational,P4-Low,0
tcp,netbios_ns,S0,0,0,anomaly,14.746754,Informational,P4-Low,0
tcp,private,REJ,0,0,anomaly,66.258466,Medium,P2-High,1
icmp,ecr_i,SF,1480,0,anomaly,46.617631,Low,P3-Medium,0
tcp,iso_tsap,S0,0,0,anomaly,14.24101,Informational,P4-Low,0
tcp,http,SF,313,8549,normal,2.331943,Informational,P4-Low,0
tcp,link,S0,0,0,anomaly,17.307103,Informational,P4-Low,0
tcp,sunrpc,S0,0,0,anomaly,12.342725,Informational,P4-Low,0
tcp,http,SF,285,6008,normal,3.445797,Informational,P4-Low,0
tcp,http,SF,226,1411,normal,2.974321,Informational,P4-Low,0
tcp,http,SF,256,12984,normal,5.795815,Informational,P4-Low,0
tcp,smtp,SF,3740,449,normal,23.405026,Informational,P4-Low,0
tcp,http,SF,224,449,normal,11.824285,Informational,P4-Low,0
tcp,login,S0,0,0,anomaly,15.244228,Informational,P4-Low,0
tcp,ftp_data,SF,832,0,anomaly,22.974615,Informational,P4-Low,0
tcp,finger,S0,0,0,anomaly,16.533959,Informational,P4-Low,0
icmp,eco_i,SF,8,0,anomaly,42.416327,Low,P3-Medium,0
tcp,http,SF,201,169,normal,4.827506,Informational,P4-Low,0
tcp,http,SF,285,304,normal,3.947548,Informational,P4-Low,0
tcp,kshell,S0,0,0,anomaly,19.919708,Informational,P4-Low,0
tcp,ftp_data,SF,7422,0,normal,25.03172,Low,P3-Medium,0
tcp,http,SF,198,12884,normal,19.648459,Informational,P4-Low,0
tcp,smtp,SF,2310,328,normal,25.914012,Low,P3-Medium,0
tcp,http,SF,331,955,normal,1.584988,Informational,P4-Low,0
icmp,urp_i,SF,65,0,normal,30.332244,Low,P3-Medium,0
udp,private,SF,28,0,anomaly,34.113384,Low,P3-Medium,0
udp,domain_u,SF,45,77,normal,15.73623,Informational,P4-Low,0
tcp,ftp,RSTO,0,0,anomaly,44.647145,Low,P3-Medium,0
tcp,auth,S0,0,0,anomaly,20.120285,Informational,P4-Low,0
tcp,kshell,S0,0,0,anomaly,17.705136,Informational,P4-Low,0
tcp,finger,SF,9,142,normal,11.047628,Informational,P4-Low,0
tcp,http,SF,283,912,normal,1.260249,Informational,P4-Low,0
tcp,http,SF,221,1789,normal,23.03423,Informational,P4-Low,0
icmp,eco_i,SF,18,0,anomaly,32.497827,Low,P3-Medium,0
tcp,vmnet,S0,0,0,anomaly,20.81992,Informational,P4-Low,0
tcp,telnet,S0,0,0,anomaly,31.141074,Low,P3-Medium,0
tcp,ftp_data,S0,0,0,anomaly,15.885866,Informational,P4-Low,0
tcp,http,SF,302,1380,normal,6.111782,Informational,P4-Low,0
tcp,private,S0,0,0,anomaly,17.668004,Informational,P4-Low,0
icmp,eco_i,SF,8,0,anomaly,36.924854,Low,P3-Medium,0
tcp,private,S0,0,0,anomaly,17.496174,Informational,P4-Low,0
tcp,http,SF,355,870,normal,0.602761,Informational,P4-Low,0
icmp,eco_i,SF,8,0,anomaly,37.19055,Low,P3-Medium,0
tcp,telnet,SF,106,1468,normal,18.744522,Informational,P4-Low,0
tcp,http,SF,286,1423,normal,2.164304,Informational,P4-Low,0
tcp,other,RSTR,1,0,anomaly,66.723506,Medium,P2-High,1
tcp,sql_net,SH,0,0,anomaly,66.648104,Medium,P2-High,1
icmp,ecr_i,SF,1032,0,anomaly,21.014867,Informational,P4-Low,0
tcp,http,SF,168,9551,normal,16.137883,Informational,P4-Low,0
tcp,http,SF,238,864,normal,3.720446,Informational,P4-Low,0
tcp,private,RSTR,0,0,anomaly,52.962937,Medium,P2-High,1
tcp,http,SF,291,10369,normal,6.08971,Informational,P4-Low,0
tcp,vmnet,S0,0,0,anomaly,20.033734,Informational,P4-Low,0
tcp,smtp,SF,749,330,normal,14.671239,Informational,P4-Low,0
tcp,http,SF,198,6924,normal,4.159228,Informational,P4-Low,0
tcp,mtp,REJ,0,0,anomaly,42.639395,Low,P3-Medium,0
tcp,http,SF,167,709,normal,17.145669,Informational,P4-Low,0
tcp,http,SF,241,851,normal,3.64342,Informational,P4-Low,0
tcp,http,SF,337,3360,normal,0.762432,Informational,P4-Low,0
tcp,smtp,SF,729,328,normal,13.348721,Informational,P4-Low,0
icmp,eco_i,SF,8,0,anomaly,39.617281,Low,P3-Medium,0
tcp,csnet_ns,S0,0,0,anomaly,20.528836,Informational,P4-Low,0
tcp,http,SF,222,1483,normal,0.347886,Informational,P4-Low,0
tcp,auth,REJ,0,0,anomaly,46.250287,Low,P3-Medium,0
tcp,http,REJ,0,0,normal,57.869373,Medium,P2-High,1
udp,domain_u,SF,46,134,normal,16.264851,Informational,P4-Low,0
tcp,http,SF,246,2719,normal,15.87822,Informational,P4-Low,0
tcp,http,SF,222,771,normal,1.811241,Informational,P4-Low,0
tcp,vmnet,S0,0,0,anomaly,18.211302,Informational,P4-Low,0
tcp,private,S0,0,0,anomaly,12.419738,Informational,P4-Low,0
tcp,telnet,SF,279,9598,normal,54.632878,Medium,P2-High,1
tcp,http,SF,226,651,normal,0.347886,Informational,P4-Low,0
tcp,http,SF,299,447,normal,2.857384,Informational,P4-Low,0
tcp,http,S0,0,0,anomaly,44.441719,Low,P3-Medium,0
tcp,ftp_data,SF,12,0,normal,17.062982,Informational,P4-Low,0
tcp,http,SF,281,1951,normal,6.193373,Informational,P4-Low,0
tcp,bgp,S0,0,0,anomaly,25.754431,Low,P3-Medium,0
udp,domain_u,SF,42,42,normal,18.791667,Informational,P4-Low,0
tcp,ftp,S0,0,0,anomaly,17.754854,Informational,P4-Low,0
tcp,time,S0,0,0,anomaly,14.706735,Informational,P4-Low,0
tcp,http,SF,263,453,normal,0.119853,Informational,P4-Low,0
tcp,private,RSTR,1,0,anomaly,70.022072,Medium,P2-High,1
tcp,ftp,RSTO,0,0,normal,44.807761,Low,P3-Medium,0
tcp,private,S0,0,0,anomaly,14.775738,Informational,P4-Low,0
tcp,sql_net,S0,0,0,anomaly,14.855599,Informational,P4-Low,0
tcp,http,SF,283,1980,normal,4.034354,Informational,P4-Low,0
tcp,http,SF,161,5530,normal,9.896711,Informational,P4-Low,0
tcp,http,SF,211,321,normal,3.374874,Informational,P4-Low,0
tcp,http,SF,201,1701,normal,2.066271,Informational,P4-Low,0
icmp,eco_i,SF,8,0,anomaly,34.541649,Low,P3-Medium,0
udp,other,SF,147,0,normal,49.5479,Low,P3-Medium,1
tcp,private,S0,0,0,anomaly,16.644435,Informational,P4-Low,0
tcp,ftp_data,SF,567,0,normal,14.718225,Informational,P4-Low,0
tcp,hostnames,REJ,0,0,anomaly,40.35699,Low,P3-Medium,0
tcp,telnet,S0,0,0,anomaly,33.676933,Low,P3-Medium,0
tcp,ftp_data,SF,5131424,0,anomaly,64.518357,Medium,P2-High,1
tcp,http,SF,320,420,normal,0.418437,Informational,P4-Low,0
icmp,eco_i,SF,8,0,anomaly,38.332037,Low,P3-Medium,0
tcp,smtp,S0,0,0,normal,38.566597,Low,P3-Medium,0
tcp,http,SF,204,1229,normal,1.260468,Informational,P4-Low,0
tcp,time,RSTR,0,0,anomaly,51.449894,Medium,P2-High,1
tcp,ftp_data,SF,10389,0,normal,12.594194,Informational,P4-Low,0
tcp,uucp,S0,0,0,anomaly,13.893796,Informational,P4-Low,0
tcp,http,SF,344,573,normal,7.058547,Informational,P4-Low,0
tcp,exec,RSTO,0,0,anomaly,43.464616,Low,P3-Medium,0
tcp,netbios_dgm,S0,0,0,anomaly,14.431975,Informational,P4-Low,0
tcp,http,SF,243,821,normal,2.124374,Informational,P4-Low,0
icmp,ecr_i,SF,1032,0,anomaly,29.601665,Low,P3-Medium,0
icmp,eco_i,SF,8,0,anomaly,43.614196,Low,P3-Medium,0
tcp,private,REJ,0,0,anomaly,68.674974,Medium,P2-High,1
udp,private,SF,105,146,normal,33.073701,Low,P3-Medium,0
tcp,private,S0,0,0,anomaly,14.055945,Informational,P4-Low,0
tcp,smtp,SF,1080,327,normal,23.212865,Informational,P4-Low,0
tcp,telnet,S0,0,0,anomaly,19.404763,Informational,P4-Low,0
tcp,private,S0,0,0,anomaly,14.712289,Informational,P4-Low,0
tcp,Z39_50,S0,0,0,anomaly,21.419246,Informational,P4-Low,0
tcp,smtp,SF,657,326,normal,47.794148,Low,P3-Medium,0
tcp,http_443,S0,0,0,anomaly,14.328806,Informational,P4-Low,0
tcp,http,SF,284,765,normal,0.359019,Informational,P4-Low,0
tcp,http,SF,261,15455,normal,6.239888,Informational,P4-Low,0
tcp,http,SF,317,315,normal,13.871403,Informational,P4-Low,0
udp,domain_u,SF,33,0,normal,15.593955,Informational,P4-Low,0
tcp,private,REJ,0,0,anomaly,63.631729,Medium,P2-High,1
tcp,private,RSTR,0,0,anomaly,54.863503,Medium,P2-High,1
udp,domain_u,SF,44,70,normal,17.317803,Informational,P4-Low,0
tcp,http,SF,215,584,normal,7.147546,Informational,P4-Low,0
tcp,private,S0,0,0,anomaly,14.124941,Informational,P4-Low,0
tcp,http,SF,332,2844,normal,2.586647,Informational,P4-Low,0
tcp,smtp,SF,978,334,normal,23.738182,Informational,P4-Low,0
tcp,http,SF,296,5670,normal,3.039264,Informational,P4-Low,0
tcp,telnet,S0,0,0,anomaly,13.155623,Informational,P4-Low,0
tcp,private,REJ,0,0,anomaly,38.029369,Low,P3-Medium,0
tcp,http,SF,214,9986,normal,5.787864,Informational,P4-Low,0
tcp,private,S0,0,0,anomaly,15.71749,Informational,P4-Low,0
udp,ntp_u,SF,48,48,normal,24.622054,Informational,P4-Low,0
tcp,http,SF,226,1301,normal,3.023157,Informational,P4-Low,0
tcp,bgp,S0,0,0,anomaly,21.199214,Informational,P4-Low,0
icmp,urp_i,SF,78,0,normal,25.973852,Low,P3-Medium,0
tcp,private,S0,0,0,anomaly,16.662457,Informational,P4-Low,0
tcp,http,REJ,0,0,normal,54.061324,Medium,P2-High,1
tcp,discard,S0,0,0,anomaly,18.484774,Informational,P4-Low,0
tcp,private,REJ,0,0,anomaly,67.83342,Medium,P2-High,1
tcp,private,REJ,0,0,anomaly,63.34032,Medium,P2-High,1
tcp,http,SF,294,3327,normal,3.344233,Informational,P4-Low,0
tcp,supdup,S0,0,0,anomaly,19.682918,Informational,P4-Low,0
tcp,http,SF,220,1249,normal,1.143079,Informational,P4-Low,0
tcp,other,REJ,0,0,anomaly,74.752265,Medium,P2-High,1
tcp,http,SF,196,3282,normal,3.240546,Informational,P4-Low,0
tcp,http,S0,0,0,anomaly,28.962729,Low,P3-Medium,0
tcp,http,SF,327,4482,normal,4.623354,Informational,P4-Low,0
tcp,uucp_path,REJ,0,0,anomaly,43.336464,Low,P3-Medium,0
tcp,ftp_data,SF,319,0,normal,24.100876,Informational,P4-Low,0
tcp,smtp,SF,1087,302,normal,22.830177,Informational,P4-Low,0
tcp,http,SF,210,3754,normal,4.697668,Informational,P4-Low,0
tcp,sql_net,S0,0,0,anomaly,14.344948,Informational,P4-Low,0
tcp,http,REJ,0,0,normal,53.592847,Medium,P2-High,1
tcp,http,SF,234,6282,normal,2.973439,Informational,P4-Low,0
icmp,eco_i,SF,8,0,anomaly,38.196063,Low,P3-Medium,0
tcp,http,SF,54540,8314,anomaly,29.766611,Low,P3-Medium,0
tcp,http,SF,237,1461,normal,1.234978,Informational,P4-Low,0
tcp,ftp_data,S0,0,0,anomaly,48.874368,Low,P3-Medium,0
tcp,private,S0,0,0,anomaly,12.484492,Informational,P4-Low,0
tcp,http,SF,200,955,normal,0.5682,Informational,P4-Low,0
tcp,http,SF,219,657,normal,5.163879,Informational,P4-Low,0
tcp,http,SF,284,5921,normal,4.356183,Informational,P4-Low,0
tcp,nntp,S0,0,0,anomaly,13.412531,Informational,P4-Low,0
tcp,http,SF,325,426,normal,0.29664,Informational,P4-Low,0
tcp,courier,S0,0,0,anomaly,17.80191,Informational,P4-Low,0
icmp,eco_i,SF,30,0,normal,18.801817,Informational,P4-Low,0
tcp,http,SF,335,7902,normal,25.962081,Low,P3-Medium,0
udp,domain_u,SF,36,0,normal,30.218832,Low,P3-Medium,0
tcp,private,S0,0,0,anomaly,17.150596,Informational,P4-Low,0
udp,domain_u,SF,43,43,normal,14.235426,Informational,P4-Low,0
tcp,courier,S0,0,0,anomaly,16.437597,Informational,P4-Low,0
tcp,http,REJ,0,0,normal,55.034217,Medium,P2-High,1
tcp,private,S0,0,0,anomaly,24.650975,Informational,P4-Low,0
tcp,private,S0,0,0,anomaly,14.150207,Informational,P4-Low,0
tcp,http,SF,216,1956,normal,4.962904,Informational,P4-Low,0
tcp,uucp,S0,0,0,anomaly,15.550716,Informational,P4-Low,0
udp,domain_u,SF,44,78,normal,16.786836,Informational,P4-Low,0
tcp,http,SF,347,8113,normal,8.964792,Informational,P4-Low,0
tcp,smtp,SF,570,280,normal,14.674757,Informational,P4-Low,0
tcp,http,SF,219,17540,normal,9.527241,Informational,P4-Low,0
